"from_pattern","to_pattern","edge_text(description)"
"hashed feature","embeddings","capture relationships between hashed features using"
"repeatable splitting","hashed feature","uses"
"hashed feature","hyperparameter tuning","to select number of hash buckets, use"
"embeddings","transfer learning","of text, images are a form of"
"embeddings","feature store","can be stored and saved within"
"embeddings","hyperparameter tuning","to choose the embedding dimension, use"
"embeddings","neutral class","may be improved by using"
"feature cross","embeddings","avoid curse of dimensionality by using"
"transform","multimodal input","can be simpler than"
"reframing","multilabel output","a regression problem as classification using"
"reframing","fairness lens","can be examined for inadvertent bias using"
"reframing","neutral class","noise handling by incorporating"
"multilabel output","cascade","for hierarchical labels can use"
"ensembles","explainable predictions","increase the need for"
"reframing","cascade","regression with rare cases could also use"
"useful overfitting","cascade","for chained optimization, use"
"rebalancing","ensembles","when downsampling, use all the data through"
"rebalancing","reframing","can also be addressed with Cascade and"
"rebalancing","cascade","can also be addressed with Reframing and"
"rebalancing","explainable predictions","verify model predictions using"
"checkpoints","transfer learning","fine-tuning is a form of "
"transfer learning","cascade","might require the use of"
"distributed training","checkpoints","requires virtual epochs and"
"stateless serving function","model versioning","different model signatures is an alternate to"
"stateless serving function","batch serving","tradeoff between latency and throughput"
"batch serving","windowed inference","when combined with streaming pipelines consider"
"batch serving","keyed prediction","when distributed, requires"
"continued model evaluation","workflow pipeline","simplify retraining triggers using"
"continued model evaluation","model versioning","compare model performance using"
"continued model evaluation","keyed prediction","requires"
"continued model evaluation","fairness lens","incorporates"
"transform","stateless serving function","adds artifacts to"
"transform","windowed inference","in streaming pipelines, consider"
"transform","feature store","for reuse between ML tasks, consider"
"transform","workflow pipeline","can automate using"
"bridged schema","hyperparameter tuning","choose number of old examples using"
"bridged schema","feature store","document and version features using"
"bridged schema","cascade","an alternative is"
"windowed inference","feature store","maintain stateful streaming features in"
"windowed inference","two phase prediction","for batching prediction requests combine with"
"model versioning","workflow pipeline","lineage tracking is provided through"
"explainable predictions","heuristic benchmark","for model baselines, can use"
"explainable predictions","fairness lens","is one approach for"
"fairness lens","workflow pipeline","can be incorporated into TFX pipeline components"